age,dc_key,dispatch_date_time,geometry,hispanic,location_block,neighborhood,police_district,race,sex,time_offset,weapon,year,zip_code
51,201535027260,2015-12-03 19:00:00+00:00,POINT (2701708.393459919 265888.1829191603),0,5300 BLOCK N 05TH ST,Olney,35.0,White,Male,313095600.0,hammer,2015,19120.0
27,201525099063,2015-12-02 23:00:00+00:00,POINT (2697546.462547942 254499.7792574721),0,1100 BLOCK W WESTMORLAND WESTMORELAND ST,Franklinville,25.0,Black,Male,313023600.0,firearm,2015,19140.0
24,201518081983,2015-12-02 23:00:00+00:00,POINT (2671206.128985013 234713.8305289847),0,700 BLOCK S 60TH ST,Cobbs Creek,18.0,Black,Male,313023600.0,firearm,2015,19143.0
25,201524116460,2015-11-30 20:00:00+00:00,POINT (2706001.723120918 250155.066606347),0,2900 BLOCK FRANKFORD AVE,Richmond,24.0,Black,Male,312840000.0,firearm,2015,19134.0
21,201524114957,2015-11-26 05:00:00+00:00,POINT (2711869.218955503 250129.4041173519),0,3500 BLOCK ALMOND ST,Richmond,24.0,White,Male,312440400.0,firearm,2015,19134.0
19,201539094546,2015-11-23 16:00:00+00:00,POINT (2696188.898836359 260222.6039085637),0,4200 BLOCK N HICKS ST,Nicetown,39.0,Black,Male,312220800.0,firearm,2015,19140.0
20,201524114066,2015-11-23 15:00:00+00:00,POINT (2710363.085646037 254237.7803112018),1,3600 BLOCK JASPER ST,Harrowgate,24.0,White,Male,312217200.0,firearm,2015,19134.0
25,201524114122,2015-11-23 15:00:00+00:00,POINT (2710363.085646037 254237.7803112018),1,3600 BLOCK JASPER ST,Harrowgate,24.0,White,Male,312217200.0,firearm,2015,19134.0
35,201522105155,2015-11-22 05:00:00+00:00,POINT (2695972.230816588 249566.2589526741),0,N 13TH ST / W YORK ST,Hartranft,22.0,White,Male,312094800.0,firearm,2015,19132.0
20,201518077691,2015-11-15 19:00:00+00:00,POINT (2673434.441328586 235010.9922640471),0,5600 BLOCK PEMBERTON ST,Cobbs Creek,18.0,Black,Male,311540400.0,firearm,2015,19143.0
18,201501056094,2015-11-15 15:00:00+00:00,POINT (2688540.07585684 227264.9211766401),0,2200 BLOCK S GARNET ST,West Passyunk,1.0,Black,Male,311526000.0,firearm,2015,19145.0
25,201526060490,2015-11-14 02:00:00+00:00,POINT (2701006.638341133 249481.8528847864),1,2500 BLOCK N 02ND ST,West Kensington,26.0,White,Male,311392800.0,firearm,2015,19133.0
19,201512089788,2015-11-13 02:00:00+00:00,POINT (2670944.219674832 218312.9994154199),0,7800 BLOCK CENTAUR PL,Eastwick,12.0,Black,Male,311306400.0,firearm,2015,19153.0
33,201525093192,2015-11-11 15:00:00+00:00,POINT (2699405.312878996 258247.1069226655),0,700 BLOCK W LUZERNE ST,Hunting Park,25.0,Black,Male,311180400.0,firearm,2015,19140.0
41,201522101540,2015-11-10 16:00:00+00:00,POINT (2691798.288136313 249617.0130223163),1,2100 BLOCK W DAUPHIN ST,Stanton,22.0,Black,Male,311097600.0,firearm,2015,19132.0
22,201516051151,2015-11-10 09:00:00+00:00,POINT (2683690.529765236 241109.0216944671),0,700 BLOCK N 38TH ST,Mantua,16.0,Black,Male,311072400.0,firearm,2015,19104.0
